Commit SHA,Java File,Old function signature,New function signature
8980b3958c93f2daf38c858a60668f837dcdf21e,mediator/src/main/java/com/iluwatar/Action.java,Action::Action(String title),"Action::Action(String title, String description)"
e01c852ee01d3f99261e08a6cb50fec185c92984,mediator/src/main/java/com/iluwatar/Action.java,Action::Action(String title),"Action::Action(String title, String description)"
2ca8ab09e0dd9f12897fe2929e3a56d7f9f1bd1a,layers/src/main/java/com/iluwatar/layers/CakeToppingInfo.java,"public CakeToppingInfo::CakeToppingInfo(String name, int calories)","public CakeToppingInfo::CakeToppingInfo(Long id, String name, int calories)"
913b4fa30c31451e3ffa93aca355109ad617712a,layers/src/main/java/com/iluwatar/layers/CakeLayerInfo.java,"public CakeLayerInfo::CakeLayerInfo(String name, int calories)","public CakeLayerInfo::CakeLayerInfo(Long id, String name, int calories)"
913b4fa30c31451e3ffa93aca355109ad617712a,layers/src/main/java/com/iluwatar/layers/CakeToppingInfo.java,"public CakeToppingInfo::CakeToppingInfo(String name, int calories)","public CakeToppingInfo::CakeToppingInfo(Long id, String name, int calories)"
aa04e7c85664a4c077829eee7302baae15da1c7a,layers/src/main/java/com/iluwatar/layers/CakeLayerInfo.java,"public CakeLayerInfo::CakeLayerInfo(String name, int calories)","public CakeLayerInfo::CakeLayerInfo(Long id, String name, int calories)"
aa04e7c85664a4c077829eee7302baae15da1c7a,layers/src/main/java/com/iluwatar/layers/CakeToppingInfo.java,"public CakeToppingInfo::CakeToppingInfo(String name, int calories)","public CakeToppingInfo::CakeToppingInfo(Long id, String name, int calories)"
9aa831d688822185b42bccf1f9188ad31e4abf85,layers/src/main/java/com/iluwatar/layers/CakeInfo.java,"public CakeInfo::CakeInfo(CakeToppingInfo cakeToppingInfo, List cakeLayerInfos)","public CakeInfo::CakeInfo(Long id, CakeToppingInfo cakeToppingInfo, List cakeLayerInfos)"
ec8203a196106ac6cbb732775af153ff4b15dfd6,reactor/src/main/java/com/iluwatar/reactor/App.java,private static SelectableChannel App::tcpChannel(int port),"private static AbstractNioChannel App::tcpChannel(int port, ChannelHandler handler)"
ec8203a196106ac6cbb732775af153ff4b15dfd6,reactor/src/main/java/com/iluwatar/reactor/App.java,private static SelectableChannel App::udpChannel(int port),"private static AbstractNioChannel App::udpChannel(int port, ChannelHandler handler)"
ec8203a196106ac6cbb732775af153ff4b15dfd6,reactor/src/main/java/com/iluwatar/reactor/AppClient.java,private void AppClient::LoggingClient::writeLogs(PrintWriter writer),"private void AppClient::LoggingClient::writeLogs(PrintWriter writer, InputStream inputStream)"
b94c1d37d2248513d98778a4f95ee8290e3806d8,reactor/src/main/java/com/iluwatar/reactor/AbstractNioChannel.java,public void AbstractNioChannel::write(SelectionKey key),"public void AbstractNioChannel::write(Object data, SelectionKey key)"
363d2c38456a152ee09858d42e9f3b5644d5b2b0,reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,public AppClient::UDPLoggingClient::UDPLoggingClient(int port),"public AppClient::UDPLoggingClient::UDPLoggingClient(String clientName, int port)"
ded21b70acdbfa746343a0ebd6e5d33c5bf37dfb,fluentinterface/src/main/java/com/iluwatar/fluentinterface/App.java,"private static void App::prettyPrint(String prefix, Iterable iterable)","private static void App::prettyPrint(String prefix, String suffix, Iterable iterable)"
ded21b70acdbfa746343a0ebd6e5d33c5bf37dfb,fluentinterface/src/main/java/com/iluwatar/fluentinterface/App.java,"private static void App::prettyPrint(String prefix, String suffix, Iterable iterable)","private static void App::prettyPrint(String delimiter, String prefix, String suffix, Iterable iterable)"
fb13ddc5d6ca34975c5c0bf474987e6b1c19c34a,fluentinterface/src/main/java/com/iluwatar/fluentinterface/App.java,"private static void App::prettyPrint(String prefix, Iterable iterable)","private static void App::prettyPrint(String prefix, String suffix, Iterable iterable)"
fb13ddc5d6ca34975c5c0bf474987e6b1c19c34a,fluentinterface/src/main/java/com/iluwatar/fluentinterface/App.java,"private static void App::prettyPrint(String prefix, String suffix, Iterable iterable)","private static void App::prettyPrint(String delimiter, String prefix, String suffix, Iterable iterable)"
efa7e01223e21a3d126906e8020e2f0be8dec6c1,fluentinterface/src/main/java/com/iluwatar/fluentinterface/App.java,"private static void App::prettyPrint(String prefix, String suffix, Iterable iterable)","private static void App::prettyPrint(String delimiter, String prefix, String suffix, Iterable iterable)"
8d429525dcb752db7854f0695630c1a98eb17b76,reactor/src/main/java/com/iluwatar/reactor/app/LoggingHandler.java,"private void LoggingHandler::sendReply(AbstractNioChannel channel, SelectionKey key)","private void LoggingHandler::sendReply(AbstractNioChannel channel, DatagramPacket incomingPacket, SelectionKey key)"
16a8c85af60ddc83a406332d6f051a60d8680fb4,async-method-invocation/src/main/java/com/iluwatar/async/method/invocation/AsyncExecutor.java,AsyncResult AsyncExecutor::startProcess(Callable task),"AsyncResult AsyncExecutor::startProcess(Callable task, AsyncCallback callback)"
16a8c85af60ddc83a406332d6f051a60d8680fb4,async-method-invocation/src/main/java/com/iluwatar/async/method/invocation/ThreadAsyncExecutor.java,public AsyncResult ThreadAsyncExecutor::startProcess(Callable task),"public AsyncResult ThreadAsyncExecutor::startProcess(Callable task, AsyncCallback callback)"
306b1f3d31751448d1904657d065bd0241e9dec2,fluentinterface/src/main/java/com/iluwatar/fluentinterface/app/App.java,"private static void App::prettyPrint(String prefix, Iterable iterable)","private static void App::prettyPrint(String delimiter, String prefix, String suffix, Iterable iterable)"
